case_id,husband_age,wife_age,marriage_duration_years,num_children,husband_monthly_income,wife_monthly_income,husband_assets,wife_assets,monthly_household_expenses,husband_education,wife_education,husband_employment,wife_employment,standard_of_living,wife_health_condition,husband_health_condition,wife_career_sacrifice,custody_with,marriage_type,divorce_type,monthly_alimony_amount,alimony_duration_months
564,51,54,12,3,187167,0,7544390,319277,81619,Graduate,Graduate,Employed,Homemaker,Upper-Middle,Poor,Moderate,Yes,Wife,Love,Contested,83802,246
565,41,44,9,3,51690,0,1963046,113371,23337,Graduate,12th Pass,Business,Homemaker,Middle,Good,Good,Yes,Shared,Love,Contested,30512,153
566,33,30,9,2,60220,25197,623843,74147,29340,Postgraduate,10th Pass,Business,Employed,Middle,Good,Moderate,Yes,Shared,Arranged,Mutual Consent,21080,99
567,57,57,3,0,17925,0,255066,67060,6234,Graduate,Graduate,Self-Employed,Homemaker,Low,Good,Good,Yes,N/A,Love,Mutual Consent,10842,65
568,44,47,3,1,11160,5726,416095,3879,3218,Postgraduate,10th Pass,Employed,Employed,Low,Good,Good,No,Shared,Arranged,Contested,5736,56
569,37,42,16,1,77190,0,1104323,228333,29483,Postgraduate,12th Pass,Self-Employed,Homemaker,Middle,Good,Good,Yes,Shared,Love,Mutual Consent,41547,185
570,52,53,3,2,197173,73373,5305620,1535261,70723,12th Pass,Graduate,Employed,Self-Employed,Upper-Middle,Good,Good,No,Husband,Arranged,Mutual Consent,26765,57
571,53,51,24,0,188192,71178,5242490,1008497,89568,12th Pass,12th Pass,Unemployed,Employed,Upper-Middle,Good,Good,No,N/A,Arranged,Contested,38343,189
572,37,40,11,2,104324,41038,8313742,2034219,33261,Postgraduate,Graduate,Employed,Self-Employed,Upper-Middle,Poor,Moderate,No,Wife,Court Marriage,Mutual Consent,29159,151
573,59,56,6,3,29150,0,414820,112221,8495,Postgraduate,12th Pass,Self-Employed,Homemaker,Low,Moderate,Good,Yes,Shared,Arranged,Contested,23825,143
574,30,33,4,2,57987,0,1118954,239947,22154,Graduate,Graduate,Employed,Homemaker,Middle,Moderate,Good,Yes,Shared,Love,Contested,31141,144
575,42,44,11,3,12447,0,317500,62850,5456,Professional Degree,Graduate,Employed,Homemaker,Low,Good,Good,Yes,Wife,Arranged,Mutual Consent,30482,159
576,29,32,11,2,14309,0,495974,2673,4783,Postgraduate,Graduate,Self-Employed,Unemployed,Low,Good,Moderate,No,Wife,Love,Mutual Consent,17819,108
577,49,48,21,1,174364,85877,7503452,1168037,49576,Postgraduate,12th Pass,Self-Employed,Self-Employed,Upper-Middle,Poor,Good,No,Shared,Arranged,Contested,39643,254
578,26,25,4,0,103096,0,2859064,402463,39355,12th Pass,Professional Degree,Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,N/A,Love,Contested,40874,93
579,34,37,16,3,132142,0,9543507,1496533,71166,12th Pass,Graduate,Self-Employed,Homemaker,Upper-Middle,Good,Good,Yes,Shared,Arranged,Contested,63088,209
580,54,52,13,2,174984,87274,9805503,1272206,94525,Graduate,10th Pass,Employed,Employed,Upper-Middle,Good,Good,No,Wife,Arranged,Mutual Consent,36941,122
581,29,26,6,2,345505,0,6102758,1659750,159832,10th Pass,Professional Degree,Unemployed,Homemaker,High,Moderate,Good,Yes,Wife,Arranged,Mutual Consent,101293,155
582,57,60,35,1,25732,11822,345852,92241,12432,Postgraduate,Graduate,Self-Employed,Self-Employed,Low,Good,Good,Yes,Shared,Arranged,Contested,24058,328
583,25,30,7,2,368671,105200,34369110,1296044,114676,Graduate,Graduate,Employed,Employed,High,Good,Good,Yes,Wife,Arranged,Contested,90076,107
584,42,45,22,0,45232,0,2278769,364301,16391,Graduate,12th Pass,Employed,Homemaker,Middle,Good,Good,Yes,N/A,Arranged,Mutual Consent,25872,219
585,56,59,28,0,177128,0,2137500,615317,76417,Postgraduate,12th Pass,Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,N/A,Love,Contested,69560,303
586,35,34,5,1,41315,0,1318243,236755,19629,Below 10th,Graduate,Employed,Unemployed,Middle,Good,Good,Yes,Wife,Love,Mutual Consent,19464,84
587,45,43,14,1,73851,18722,510015,122658,22154,Below 10th,Postgraduate,Self-Employed,Employed,Middle,Good,Good,No,Shared,Love,Contested,21947,147
588,50,53,18,0,184646,0,2540610,284568,71511,12th Pass,Professional Degree,Employed,Unemployed,Upper-Middle,Good,Good,No,N/A,Court Marriage,Contested,53451,152
589,49,54,31,0,53255,0,478353,54137,15913,Graduate,Professional Degree,Employed,Homemaker,Middle,Good,Good,Yes,N/A,Love,Mutual Consent,33781,310
590,46,43,14,2,453251,0,9881923,965524,199433,Graduate,Graduate,Employed,Homemaker,High,Poor,Good,Yes,Wife,Arranged,Contested,146898,252
591,51,51,21,2,13978,0,462101,3028,6732,Professional Degree,10th Pass,Self-Employed,Homemaker,Low,Good,Good,Yes,Shared,Love,Contested,25054,256
592,37,39,14,2,52355,0,368396,102213,26177,12th Pass,Graduate,Self-Employed,Homemaker,Middle,Moderate,Poor,Yes,Shared,Arranged,Contested,33945,226
593,57,60,25,2,18309,19134,291470,30573,8599,10th Pass,10th Pass,Self-Employed,Employed,Low,Good,Good,Yes,Shared,Arranged,Contested,18401,262
594,58,60,27,4,10367,0,266953,29398,3086,10th Pass,Graduate,Unemployed,Unemployed,Low,Moderate,Moderate,Yes,Wife,Love,Contested,34049,312
595,59,57,23,0,23417,0,85296,19435,11673,12th Pass,12th Pass,Employed,Unemployed,Low,Good,Moderate,Yes,N/A,Arranged,Mutual Consent,18643,202
596,25,25,7,1,29560,19339,281498,44495,10355,12th Pass,Graduate,Employed,Employed,Low,Good,Good,No,Shared,Court Marriage,Mutual Consent,7814,66
597,45,46,15,2,73223,0,1161408,126143,36664,Graduate,Graduate,Unemployed,Homemaker,Middle,Good,Moderate,Yes,Wife,Arranged,Mutual Consent,36690,191
598,30,27,3,0,75832,0,765924,203035,24665,Graduate,Postgraduate,Employed,Homemaker,Middle,Moderate,Good,Yes,N/A,Arranged,Contested,29140,123
599,52,49,26,2,24205,0,258855,64096,9505,12th Pass,Postgraduate,Business,Homemaker,Low,Moderate,Good,Yes,Shared,Love,Contested,31859,313
600,41,40,20,2,13812,13254,404690,118590,5842,Graduate,Below 10th,Employed,Self-Employed,Low,Good,Moderate,No,Wife,Arranged,Mutual Consent,18984,178
601,29,28,6,4,361897,177011,37045999,7124186,94243,Graduate,10th Pass,Self-Employed,Business,High,Moderate,Moderate,No,Shared,Arranged,Contested,50424,92
602,55,59,19,3,24351,11133,487522,100931,12689,12th Pass,Postgraduate,Employed,Self-Employed,Low,Poor,Good,Yes,Shared,Arranged,Mutual Consent,28826,253
603,29,34,11,4,44251,0,1906491,185596,17853,Graduate,Graduate,Business,Unemployed,Middle,Moderate,Good,No,Wife,Court Marriage,Mutual Consent,32579,129
604,27,24,1,0,26576,15094,208652,6233,8175,Graduate,10th Pass,Self-Employed,Employed,Low,Moderate,Moderate,No,N/A,Court Marriage,Mutual Consent,3513,18
605,47,45,8,3,12770,6804,196486,6243,3808,Professional Degree,Graduate,Employed,Self-Employed,Low,Moderate,Good,No,Shared,Arranged,Contested,18891,120
606,61,59,38,0,49944,0,2038906,395103,22772,10th Pass,Graduate,Self-Employed,Homemaker,Middle,Moderate,Good,Yes,N/A,Love,Contested,36954,359
607,61,60,23,2,35679,41901,1232764,41891,9794,Postgraduate,Postgraduate,Employed,Business,Middle,Poor,Good,No,Husband,Arranged,Contested,16622,250
608,34,32,13,2,69380,0,2078057,565206,26499,12th Pass,Postgraduate,Employed,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Contested,35908,191
609,34,37,15,0,27334,0,203391,42948,11263,12th Pass,Graduate,Employed,Homemaker,Low,Poor,Good,Yes,N/A,Love,Mutual Consent,26184,213
610,43,48,3,2,46272,0,2954856,200522,14804,Postgraduate,Graduate,Employed,Homemaker,Middle,Moderate,Good,Yes,Shared,Love,Contested,30779,133
611,41,44,10,0,172091,0,5440479,455713,49692,Graduate,Graduate,Self-Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,N/A,Love,Mutual Consent,52575,122
612,45,47,15,1,24678,0,437340,93149,9802,Graduate,10th Pass,Unemployed,Homemaker,Low,Good,Good,Yes,Wife,Love,Contested,25102,203
613,38,35,16,3,10257,0,261098,64552,3611,Graduate,Graduate,Self-Employed,Homemaker,Low,Poor,Good,Yes,Shared,Love,Contested,28236,264
614,33,38,1,0,27605,0,149523,37654,8062,Graduate,Graduate,Self-Employed,Homemaker,Low,Good,Moderate,Yes,N/A,Arranged,Mutual Consent,13405,49
615,25,26,3,0,42614,38201,2928161,527971,13342,Graduate,Professional Degree,Business,Self-Employed,Middle,Poor,Moderate,No,N/A,Love,Contested,4355,88
616,37,38,11,1,27034,0,109223,5086,10577,Postgraduate,Graduate,Business,Unemployed,Low,Moderate,Good,No,Husband,Love,Contested,18290,152
617,28,30,5,3,38835,0,2182865,535910,11258,Postgraduate,12th Pass,Employed,Homemaker,Middle,Good,Moderate,Yes,Husband,Arranged,Contested,32250,129
618,25,30,5,0,12425,0,150104,35648,6595,Graduate,Postgraduate,Self-Employed,Unemployed,Low,Good,Moderate,No,N/A,Arranged,Mutual Consent,3826,32
619,56,60,14,1,25011,0,153497,38467,12071,Postgraduate,12th Pass,Employed,Homemaker,Low,Moderate,Good,Yes,Wife,Arranged,Contested,27822,230
620,58,60,26,3,29543,0,452506,21403,10271,Postgraduate,Graduate,Self-Employed,Unemployed,Low,Good,Good,No,Wife,Arranged,Mutual Consent,26626,246
621,52,56,8,0,77209,0,1082607,222267,25286,Graduate,Below 10th,Employed,Unemployed,Middle,Good,Good,Yes,N/A,Love,Mutual Consent,22783,93
622,55,52,5,1,21106,14951,73792,21257,10812,12th Pass,Graduate,Employed,Business,Low,Good,Moderate,No,Wife,Arranged,Contested,7732,79
623,32,29,7,3,67953,41562,1702859,130811,25691,Postgraduate,Graduate,Employed,Employed,Middle,Good,Good,No,Shared,Court Marriage,Contested,17939,92
624,50,54,31,2,50674,0,2724454,585807,25783,Graduate,Graduate,Unemployed,Homemaker,Middle,Good,Good,Yes,Shared,Love,Contested,42417,347
625,58,59,16,3,76267,24426,1126038,87465,36054,10th Pass,10th Pass,Employed,Self-Employed,Middle,Good,Moderate,No,Wife,Arranged,Contested,30817,167
626,27,32,7,0,170117,43324,2505227,230803,47230,Graduate,Graduate,Self-Employed,Employed,Upper-Middle,Moderate,Moderate,No,N/A,Love,Mutual Consent,30765,73
627,36,34,14,3,186124,0,2786558,405668,91960,Postgraduate,Graduate,Business,Homemaker,Upper-Middle,Moderate,Poor,Yes,Wife,Arranged,Mutual Consent,63602,202
628,25,30,5,4,69920,19521,2409217,646841,28804,Graduate,Below 10th,Employed,Self-Employed,Middle,Good,Moderate,No,Wife,Arranged,Contested,25982,64
629,29,33,8,0,412192,0,22902501,265635,186838,10th Pass,10th Pass,Self-Employed,Homemaker,High,Moderate,Good,Yes,N/A,Love,Mutual Consent,126341,120
630,54,59,4,0,19897,18320,79837,23702,6281,Graduate,Postgraduate,Employed,Employed,Low,Moderate,Good,No,N/A,Arranged,Contested,1708,46
631,54,54,36,4,27096,0,102377,23712,6776,12th Pass,Postgraduate,Self-Employed,Homemaker,Low,Good,Good,Yes,Wife,Arranged,Contested,44088,360
632,41,38,16,2,76566,0,2796582,301845,26806,Graduate,10th Pass,Business,Homemaker,Middle,Moderate,Good,Yes,Wife,Arranged,Contested,44103,245
633,47,44,24,2,47191,37928,2502249,265859,14496,Graduate,Professional Degree,Employed,Employed,Middle,Good,Good,No,Shared,Love,Contested,17655,224
634,39,40,17,2,73619,0,1324276,191880,28016,Graduate,Graduate,Employed,Homemaker,Middle,Moderate,Moderate,Yes,Shared,Arranged,Contested,44446,236
635,61,59,36,3,23165,0,122906,32280,6422,12th Pass,Graduate,Employed,Homemaker,Low,Good,Moderate,Yes,Wife,Arranged,Contested,37444,360
636,45,49,6,3,75686,30864,1681327,9037,39244,Postgraduate,Graduate,Employed,Employed,Middle,Moderate,Good,Yes,Wife,Arranged,Contested,32555,127
637,38,39,16,1,297760,0,41568131,6836913,85045,10th Pass,Graduate,Business,Homemaker,High,Poor,Good,Yes,Wife,Arranged,Contested,98632,260
638,26,27,5,1,75252,0,2688056,45229,36064,Below 10th,Graduate,Unemployed,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Mutual Consent,36160,120
639,35,33,4,3,291255,211505,13507524,468443,154888,Postgraduate,Below 10th,Employed,Employed,High,Good,Good,No,Wife,Arranged,Contested,25968,72
640,58,60,38,3,42093,0,457814,94858,12395,Below 10th,Postgraduate,Employed,Unemployed,Middle,Moderate,Poor,No,Shared,Love,Contested,34089,348
641,58,60,37,2,15651,16524,435378,30603,5539,Graduate,Graduate,Employed,Self-Employed,Low,Good,Good,No,Wife,Arranged,Contested,21457,335
642,42,39,16,4,77852,27852,2768253,34543,36537,Graduate,10th Pass,Unemployed,Employed,Middle,Poor,Moderate,No,Wife,Arranged,Mutual Consent,32452,210
643,54,52,10,2,73688,32410,996286,49088,34216,12th Pass,10th Pass,Employed,Employed,Middle,Moderate,Good,No,Shared,Love,Contested,22318,140
644,39,39,9,1,77095,36023,2079741,130173,20138,12th Pass,Graduate,Employed,Employed,Middle,Good,Moderate,No,Husband,Arranged,Contested,12707,98
645,51,52,29,3,50555,48871,1590257,367245,13710,Postgraduate,Graduate,Self-Employed,Self-Employed,Middle,Moderate,Good,No,Shared,Arranged,Mutual Consent,19167,291
646,58,56,14,1,56025,34067,2833398,531197,16025,Graduate,10th Pass,Employed,Employed,Middle,Poor,Good,No,Wife,Arranged,Mutual Consent,19885,186
647,57,54,4,0,18775,13567,272518,60100,7893,10th Pass,Postgraduate,Employed,Employed,Low,Poor,Poor,No,N/A,Arranged,Contested,3766,85
648,48,53,12,1,20188,0,74421,8256,5380,Graduate,Graduate,Employed,Homemaker,Low,Poor,Good,Yes,Shared,Arranged,Mutual Consent,20187,222
649,39,36,10,2,55898,0,2480456,84186,23841,Postgraduate,Professional Degree,Unemployed,Homemaker,Middle,Good,Moderate,Yes,Shared,Arranged,Mutual Consent,37096,154
650,54,54,36,4,345060,0,41128359,9936078,121715,12th Pass,12th Pass,Employed,Homemaker,High,Good,Poor,Yes,Shared,Arranged,Mutual Consent,131208,360
651,41,39,18,1,14038,13369,439673,18519,6328,10th Pass,10th Pass,Employed,Employed,Low,Poor,Good,No,Shared,Arranged,Mutual Consent,10671,209
652,29,29,2,1,165670,0,6915674,793950,80285,12th Pass,Postgraduate,Self-Employed,Homemaker,Upper-Middle,Moderate,Good,Yes,Shared,Love,Contested,57280,116
653,53,57,33,2,52821,38761,2692646,211866,25746,Graduate,Postgraduate,Employed,Employed,Middle,Poor,Moderate,No,Shared,Love,Contested,23922,340
654,28,32,5,3,14349,5761,435384,38731,3749,10th Pass,Below 10th,Self-Employed,Self-Employed,Low,Good,Poor,No,Wife,Arranged,Contested,19164,72
655,34,39,16,2,19655,0,203483,36740,10498,12th Pass,Graduate,Employed,Homemaker,Low,Moderate,Good,Yes,Wife,Arranged,Contested,28801,229
656,41,42,15,2,24906,0,425559,20982,10609,Professional Degree,Below 10th,Employed,Homemaker,Low,Good,Moderate,Yes,Wife,Arranged,Contested,30181,200
657,34,37,6,2,308296,84257,22923300,3066270,159916,12th Pass,12th Pass,Employed,Self-Employed,High,Moderate,Good,No,Wife,Love,Contested,66634,103
658,41,40,5,1,34526,41736,1424318,272908,15003,10th Pass,Postgraduate,Unemployed,Business,Middle,Moderate,Moderate,No,Shared,Arranged,Mutual Consent,2185,73
659,44,44,6,1,261976,0,5538513,1443746,103542,Graduate,Graduate,Business,Homemaker,High,Moderate,Moderate,Yes,Shared,Arranged,Contested,95979,159
660,48,53,6,1,143832,0,6417593,714716,67445,10th Pass,Postgraduate,Unemployed,Homemaker,Upper-Middle,Good,Good,Yes,Wife,Arranged,Contested,52388,139
661,29,26,3,3,40110,44397,2912973,278502,12667,Below 10th,Graduate,Business,Self-Employed,Middle,Poor,Good,Yes,Wife,Love,Contested,16010,109
662,58,56,12,0,64108,0,854992,94351,18012,Below 10th,Postgraduate,Business,Homemaker,Middle,Good,Good,Yes,N/A,Arranged,Contested,23822,157
663,30,31,4,2,31514,27672,2444262,367223,8734,12th Pass,Graduate,Employed,Self-Employed,Middle,Moderate,Moderate,No,Husband,Court Marriage,Mutual Consent,9038,76
664,26,25,1,1,47795,0,1384119,130008,24124,10th Pass,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Wife,Love,Mutual Consent,29318,99
665,37,35,4,2,19585,12109,250964,18856,10257,12th Pass,Graduate,Employed,Employed,Low,Good,Moderate,No,Shared,Arranged,Contested,13713,90
666,35,32,1,1,70492,28778,1765960,198831,34845,Graduate,10th Pass,Employed,Employed,Middle,Good,Moderate,Yes,Wife,Court Marriage,Contested,19593,56
667,47,46,21,1,34167,32863,2986418,696876,17812,12th Pass,Graduate,Business,Employed,Middle,Moderate,Good,No,Wife,Arranged,Contested,15415,221
668,40,37,8,1,10127,0,211781,16062,5523,Graduate,Postgraduate,Employed,Homemaker,Low,Good,Good,Yes,Wife,Love,Contested,20878,157
669,55,52,32,2,59203,30350,1305596,330823,24144,Graduate,10th Pass,Employed,Self-Employed,Middle,Moderate,Poor,No,Wife,Arranged,Contested,29649,319
670,35,32,10,1,191489,0,7077679,605367,56712,Postgraduate,12th Pass,Business,Homemaker,Upper-Middle,Good,Good,Yes,Shared,Love,Mutual Consent,60748,165
671,40,44,2,2,59248,0,1387367,251006,25617,Graduate,Postgraduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Husband,Love,Contested,29852,106
672,32,31,12,2,74731,0,2679713,780581,26616,Postgraduate,12th Pass,Employed,Homemaker,Middle,Good,Good,Yes,Husband,Arranged,Contested,32624,183
673,28,25,6,2,12205,14701,69460,19833,4319,Graduate,Postgraduate,Employed,Employed,Low,Good,Good,No,Wife,Love,Mutual Consent,11382,79
674,28,31,1,2,127022,102051,1027298,133949,59489,Postgraduate,Graduate,Self-Employed,Self-Employed,Upper-Middle,Moderate,Moderate,No,Wife,Arranged,Mutual Consent,6815,47
675,49,48,7,4,58455,0,325025,6583,16203,Graduate,Postgraduate,Business,Homemaker,Middle,Poor,Good,Yes,Wife,Love,Contested,42595,209
676,27,31,4,1,300895,163269,5143354,1392761,78611,Postgraduate,10th Pass,Business,Employed,High,Poor,Good,Yes,Shared,Arranged,Contested,45148,137
677,56,56,37,1,330640,0,39813303,1515883,151625,Graduate,Postgraduate,Employed,Homemaker,High,Good,Moderate,Yes,Wife,Arranged,Contested,106442,360
678,27,27,6,3,298658,0,8655075,2398016,98025,12th Pass,Below 10th,Employed,Homemaker,High,Poor,Good,Yes,Wife,Court Marriage,Mutual Consent,109900,192
679,51,52,32,0,22148,14646,371254,81597,8098,10th Pass,12th Pass,Business,Employed,Low,Moderate,Moderate,Yes,N/A,Arranged,Contested,17185,301
680,53,55,11,3,34907,44989,2991407,838406,11948,Postgraduate,12th Pass,Business,Employed,Middle,Good,Moderate,No,Husband,Arranged,Contested,14325,113
681,56,59,1,0,499811,0,38214234,7628231,217144,10th Pass,Graduate,Employed,Homemaker,High,Poor,Good,Yes,N/A,Love,Mutual Consent,163229,100
682,43,43,25,2,142086,0,3736507,1115473,42107,Graduate,Graduate,Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,Wife,Love,Contested,62897,281
683,45,49,10,0,269022,0,8819392,1235601,125411,Professional Degree,12th Pass,Self-Employed,Homemaker,High,Good,Poor,Yes,N/A,Love,Mutual Consent,81037,134
684,29,31,4,3,36768,38520,2486478,245878,19394,12th Pass,Postgraduate,Employed,Self-Employed,Middle,Poor,Good,No,Shared,Arranged,Contested,12484,129
685,42,39,21,2,68226,26224,2618008,308908,34169,Postgraduate,Graduate,Self-Employed,Employed,Middle,Poor,Good,No,Shared,Love,Mutual Consent,30566,243
686,52,49,11,1,26221,0,421258,44268,13690,Professional Degree,Graduate,Employed,Homemaker,Low,Good,Good,Yes,Wife,Love,Mutual Consent,23553,151
687,46,51,24,0,188061,115298,2548413,306419,99883,Graduate,Graduate,Self-Employed,Employed,Upper-Middle,Moderate,Good,Yes,N/A,Arranged,Contested,30090,237
688,45,47,17,1,192696,0,7651344,2031895,69698,Graduate,10th Pass,Self-Employed,Homemaker,Upper-Middle,Good,Good,Yes,Wife,Arranged,Contested,79265,229
689,30,34,8,2,15016,9691,302975,53813,7338,Graduate,Graduate,Employed,Employed,Low,Moderate,Good,No,Wife,Love,Contested,14667,117
690,25,28,3,1,16302,0,62034,13505,6495,Graduate,Postgraduate,Business,Homemaker,Low,Poor,Moderate,Yes,Wife,Love,Mutual Consent,19453,149
691,29,31,11,1,73729,0,1205323,104094,24399,Graduate,Below 10th,Employed,Homemaker,Middle,Good,Good,Yes,Wife,Love,Mutual Consent,36999,166
692,36,36,18,2,73533,38377,2432153,722255,34859,Postgraduate,10th Pass,Employed,Employed,Middle,Moderate,Poor,No,Shared,Court Marriage,Contested,23627,191
693,50,53,27,1,21452,6127,106004,8927,6934,Professional Degree,Graduate,Employed,Employed,Low,Poor,Moderate,No,Shared,Love,Mutual Consent,21289,287
694,58,60,22,0,25865,0,250036,11928,7316,Graduate,Below 10th,Unemployed,Homemaker,Low,Moderate,Good,Yes,N/A,Arranged,Contested,22590,256
695,38,41,16,0,28825,18139,173936,40606,13299,Postgraduate,12th Pass,Business,Employed,Low,Moderate,Good,No,N/A,Love,Contested,9540,145
696,50,47,2,2,11017,0,435861,109716,3704,Postgraduate,Postgraduate,Employed,Homemaker,Low,Good,Good,Yes,Wife,Arranged,Mutual Consent,19667,99
697,51,56,5,4,479712,146877,30306570,3580375,163953,12th Pass,10th Pass,Employed,Employed,High,Moderate,Good,No,Wife,Love,Mutual Consent,96970,76
698,33,33,2,1,194307,53336,8697350,1411767,99939,Graduate,10th Pass,Employed,Employed,Upper-Middle,Good,Good,Yes,Husband,Arranged,Contested,41683,71
699,50,49,3,3,152688,0,2320927,288348,44380,Graduate,10th Pass,Self-Employed,Homemaker,Upper-Middle,Good,Moderate,Yes,Wife,Love,Contested,59933,116
700,46,46,27,0,195529,0,2067706,182323,93747,10th Pass,Graduate,Business,Homemaker,Upper-Middle,Moderate,Good,Yes,N/A,Arranged,Contested,71773,293
701,54,54,17,1,38467,0,682722,166593,14073,Postgraduate,12th Pass,Self-Employed,Homemaker,Middle,Moderate,Good,Yes,Wife,Arranged,Contested,36647,230
702,41,39,16,2,174013,0,5030084,1142388,90121,Graduate,Postgraduate,Business,Homemaker,Upper-Middle,Moderate,Good,Yes,Wife,Arranged,Contested,72620,239
703,50,47,6,1,220122,0,26968917,3926636,84109,Graduate,Graduate,Self-Employed,Homemaker,High,Poor,Moderate,Yes,Wife,Love,Mutual Consent,78941,165
704,60,57,7,2,49865,0,488394,66746,18585,Postgraduate,Graduate,Employed,Homemaker,Middle,Good,Moderate,Yes,Wife,Arranged,Contested,34330,152
705,25,29,2,3,41551,30230,2908754,157215,15746,12th Pass,12th Pass,Business,Employed,Middle,Good,Good,No,Wife,Arranged,Contested,17390,48
706,32,30,6,4,196759,77199,4726760,903671,98636,Below 10th,Graduate,Employed,Employed,Upper-Middle,Poor,Good,Yes,Wife,Arranged,Mutual Consent,49295,154
707,59,60,40,0,454259,184284,11166012,3094139,114997,12th Pass,12th Pass,Employed,Employed,High,Moderate,Moderate,No,N/A,Love,Contested,93929,341
708,39,39,15,1,13687,0,450386,97127,6315,12th Pass,Graduate,Business,Unemployed,Low,Good,Moderate,No,Shared,Court Marriage,Contested,14214,170
709,46,50,15,4,26367,0,331613,50365,8215,Professional Degree,Graduate,Unemployed,Homemaker,Low,Good,Poor,Yes,Wife,Court Marriage,Contested,34564,204
710,38,36,15,1,353035,156471,46762879,542334,181685,Graduate,Graduate,Employed,Employed,High,Poor,Good,No,Shared,Arranged,Contested,51987,203
711,50,55,16,2,302874,0,36624385,10221311,109876,Graduate,Below 10th,Employed,Homemaker,High,Good,Good,Yes,Wife,Arranged,Contested,111482,219
712,52,55,33,1,57661,28378,1214140,112202,20278,Postgraduate,12th Pass,Employed,Business,Middle,Poor,Good,Yes,Wife,Arranged,Contested,32745,359
713,47,50,11,1,77604,0,1744095,156943,35991,12th Pass,Postgraduate,Employed,Unemployed,Middle,Moderate,Moderate,No,Wife,Love,Mutual Consent,33602,132
714,38,35,5,1,18921,8981,257640,36296,8831,Graduate,Postgraduate,Business,Employed,Low,Good,Good,No,Wife,Arranged,Mutual Consent,9983,62
715,48,46,5,3,69819,0,2736380,352308,30728,10th Pass,Postgraduate,Business,Homemaker,Middle,Moderate,Good,Yes,Shared,Arranged,Contested,40549,151
716,26,26,5,3,205126,0,19960415,5762668,71577,10th Pass,10th Pass,Unemployed,Homemaker,High,Good,Good,Yes,Husband,Arranged,Mutual Consent,66907,116
717,50,50,32,1,14266,0,107775,5335,6178,Graduate,Below 10th,Business,Homemaker,Low,Good,Good,Yes,Shared,Arranged,Mutual Consent,22790,337
718,38,37,6,3,39782,0,2746168,567733,10593,Professional Degree,Postgraduate,Employed,Homemaker,Middle,Moderate,Good,Yes,Shared,Love,Mutual Consent,33657,144
719,31,34,2,1,464930,0,34180480,1094765,249460,Graduate,Graduate,Employed,Homemaker,High,Good,Good,Yes,Wife,Love,Contested,126110,87
720,27,31,6,0,55688,0,2065460,171576,21485,Graduate,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,N/A,Arranged,Contested,25682,105
721,47,45,14,2,174410,118965,2241746,485654,59533,Postgraduate,Graduate,Self-Employed,Employed,Upper-Middle,Moderate,Good,No,Wife,Arranged,Mutual Consent,19300,162
722,42,42,11,2,46003,45717,394308,95112,23380,12th Pass,Professional Degree,Employed,Self-Employed,Middle,Good,Good,No,Wife,Arranged,Mutual Consent,9579,116
723,59,58,4,1,137026,0,5284207,743368,47582,Graduate,10th Pass,Employed,Homemaker,Upper-Middle,Good,Good,Yes,Wife,Arranged,Contested,55153,123
724,39,37,9,1,414847,0,8869767,2100392,227814,12th Pass,10th Pass,Employed,Homemaker,High,Good,Good,Yes,Shared,Arranged,Contested,133960,163
725,49,51,24,4,50033,0,1438892,403664,22874,Postgraduate,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Wife,Arranged,Mutual Consent,47402,280
726,61,60,3,3,94156,54199,8849694,2484429,41887,Below 10th,Graduate,Employed,Employed,Upper-Middle,Good,Good,Yes,Shared,Court Marriage,Contested,24819,78
727,52,54,26,3,206938,0,9224162,947711,61161,Graduate,Graduate,Self-Employed,Homemaker,High,Good,Moderate,Yes,Husband,Arranged,Contested,90023,305
728,34,32,11,0,417493,186549,27398514,2565650,180757,12th Pass,12th Pass,Employed,Employed,High,Good,Good,No,N/A,Arranged,Contested,67254,112
729,41,41,4,2,45283,17133,1060680,231157,13428,12th Pass,Graduate,Employed,Employed,Middle,Moderate,Moderate,No,Wife,Love,Contested,15266,66
730,46,48,1,1,37685,0,2667253,523390,18280,12th Pass,Graduate,Self-Employed,Homemaker,Middle,Moderate,Poor,Yes,Wife,Love,Mutual Consent,24187,106
731,50,51,25,4,38273,48581,2727056,320918,11157,Graduate,Below 10th,Employed,Self-Employed,Middle,Good,Good,Yes,Shared,Arranged,Mutual Consent,20216,246
732,49,48,21,0,74666,21551,1938054,132954,26704,Professional Degree,Graduate,Employed,Employed,Middle,Good,Moderate,No,N/A,Arranged,Contested,20433,171
733,41,45,22,1,43478,0,2684598,498072,17087,Postgraduate,Graduate,Self-Employed,Homemaker,Middle,Good,Good,Yes,Shared,Arranged,Mutual Consent,33135,261
734,37,40,16,1,23921,5986,389965,50333,11758,Postgraduate,Postgraduate,Employed,Employed,Low,Good,Moderate,No,Wife,Arranged,Mutual Consent,18790,152
